placement_id,date,impressions
1,11/1/2017,33427
1,11/2/2017,30311
1,11/3/2017,38048
1,11/4/2017,32167
1,11/5/2017,38673
1,11/6/2017,34793
1,11/7/2017,39949
1,11/8/2017,37360
1,11/9/2017,39987
1,11/10/2017,37955
1,11/11/2017,31069
1,11/12/2017,37480
1,11/13/2017,38894
1,11/14/2017,36981
1,11/15/2017,31890
1,11/16/2017,39931
1,11/17/2017,34084
1,11/18/2017,39532
1,11/19/2017,37740
1,11/20/2017,38806
1,11/21/2017,35822
1,11/22/2017,36812
1,11/23/2017,31383
1,11/24/2017,39954
1,11/25/2017,39769
1,11/26/2017,39068
1,11/27/2017,36734
1,11/28/2017,30356
1,11/29/2017,33657
1,11/30/2017,30944
1,12/1/2017,54957
1,12/2/2017,54470
1,12/3/2017,52565
1,12/4/2017,58863
1,12/5/2017,57099
1,12/6/2017,42505
1,12/7/2017,53434
1,12/8/2017,53613
1,12/9/2017,45039
1,12/10/2017,55141
1,12/11/2017,57859
1,12/12/2017,47197
1,12/13/2017,41949
1,12/14/2017,41445
1,12/15/2017,40756
1,12/16/2017,51087
1,12/17/2017,49960
1,12/18/2017,56026
1,12/19/2017,46630
1,12/20/2017,53828
1,12/21/2017,57718
1,12/22/2017,42603
1,12/23/2017,46873
1,12/24/2017,50273
1,12/25/2017,56286
1,12/26/2017,55753
1,12/27/2017,59560
1,12/28/2017,52174
1,12/29/2017,55779
1,12/30/2017,57135
1,12/31/2017,59381
2,11/1/2017,35905
2,11/2/2017,30860
2,11/3/2017,35514
2,11/4/2017,30110
2,11/5/2017,33436
2,11/6/2017,32828
2,11/7/2017,35166
2,11/8/2017,31012
2,11/9/2017,30371
2,11/10/2017,30970
2,11/11/2017,30690
2,11/12/2017,39751
2,11/13/2017,37785
2,11/14/2017,39346
2,11/15/2017,30946
2,11/16/2017,34036
2,11/17/2017,36279
2,11/18/2017,39872
2,11/19/2017,37032
2,11/20/2017,33466
2,11/21/2017,38415
2,11/22/2017,39062
2,11/23/2017,37263
2,11/24/2017,33616
2,11/25/2017,32984
2,11/26/2017,36756
2,11/27/2017,31429
2,11/28/2017,36614
2,11/29/2017,33360
2,11/30/2017,31092
2,12/1/2017,46142
2,12/2/2017,46232
2,12/3/2017,40794
2,12/4/2017,42719
2,12/5/2017,42091
2,12/6/2017,40404
2,12/7/2017,56046
2,12/8/2017,56429
2,12/9/2017,48412
2,12/10/2017,51005
2,12/11/2017,52575
2,12/12/2017,50673
2,12/13/2017,48676
2,12/14/2017,47749
2,12/15/2017,44864
2,12/16/2017,51137
2,12/17/2017,59851
2,12/18/2017,53048
2,12/19/2017,51783
2,12/20/2017,45440
2,12/21/2017,53729
2,12/22/2017,58633
2,12/23/2017,51614
2,12/24/2017,42967
2,12/25/2017,40193
2,12/26/2017,41972
2,12/27/2017,53101
2,12/28/2017,40293
2,12/29/2017,58385
2,12/30/2017,53277
2,12/31/2017,59587
